,'caller_id','assigned_to','assignment_group','u_symptom','sys_updated_by','incident_state','subcategory','category','active','u_priority_confirmation','sys_created_by','opened_by','location','made_sla','knowledge','priority','complTime'
22203,3694,149,17,1,763,7,122,34,1,1,145,6,141,1,2,3,364.533333333333
22204,2110,1,65,1,763,5,75,38,2,1,1,33,61,2,2,3,364.6
22210,631,1,1,1,28,2,209,32,2,1,127,188,217,2,2,3,364.55
22219,2787,75,1,367,763,7,76,17,1,1,127,188,185,1,2,3,364.35
22222,4321,52,4,151,763,7,224,36,1,1,127,188,181,1,2,3,364.3
22223,2991,169,18,367,109,8,101,46,2,1,145,6,13,2,2,3,571.4
22227,2991,169,18,367,325,2,101,46,2,1,145,6,13,2,2,3,571.4
22234,1349,215,21,1,199,2,75,26,2,1,127,188,45,2,2,3,364.216666666667
22239,2536,1,65,367,812,8,75,11,2,1,1,33,38,2,2,3,364.15
22242,2536,1,65,367,763,7,75,11,1,1,1,33,38,1,2,3,364.15
22245,3065,89,1,60,31,8,158,38,2,1,123,186,181,2,2,3,364.3
22246,3065,89,1,60,469,8,158,38,2,1,123,186,181,2,2,3,364.3
22250,3065,89,43,60,822,8,158,38,2,1,123,186,181,2,2,3,364.3
22262,1262,1,47,367,469,2,169,17,2,1,127,188,181,2,2,3,364.3
22267,1262,75,1,367,763,7,169,17,1,1,127,188,181,1,2,3,364.3
22269,1892,1,1,28,31,2,38,29,2,1,127,188,219,2,2,3,364.116666666667
22274,373,1,68,367,191,8,75,54,2,1,1,124,106,2,2,3,364.1
22287,3319,29,18,1,325,2,13,59,2,1,126,190,127,2,2,3,648.233333333333
22289,3319,29,18,1,345,9,13,59,2,2,126,190,127,2,2,3,648.233333333333
22291,3529,169,22,367,770,8,75,46,2,1,103,167,185,2,2,3,601.2
22301,3529,169,22,1,31,9,169,17,2,2,103,167,185,2,2,3,601.2
22308,2090,110,60,1,659,9,75,19,2,1,1,188,222,2,2,3,364.033333333333
22310,3596,88,61,367,31,2,122,34,2,1,127,188,106,2,2,3,364.016666666667
22314,5126,75,21,367,109,8,235,14,2,1,145,6,45,2,2,3,364.133333333333
22315,5126,75,21,367,109,8,235,14,2,1,145,6,45,2,2,3,364.133333333333
22321,5126,75,1,367,347,5,235,14,2,1,145,6,45,2,2,3,364.133333333333
22330,5123,1,65,367,763,7,248,24,1,1,1,87,181,1,2,3,363.866666666667
22332,2000,1,77,2,109,8,17,46,2,1,1,6,138,2,2,3,363.966666666667
22337,2000,98,65,1,105,2,209,32,2,1,1,188,138,2,2,3,363.9
22345,2000,186,65,367,763,7,248,24,1,1,1,188,138,1,2,3,363.9
22349,2435,1,1,1,763,7,169,17,1,1,123,186,170,1,2,3,363.55
22351,2883,40,16,1,30,8,196,46,2,1,126,190,219,2,2,3,576.833333333333
22360,2883,40,16,1,135,5,79,46,2,1,126,190,219,2,2,3,576.833333333333
22362,2883,40,16,1,763,7,79,46,1,2,126,190,219,1,2,3,576.833333333333
22364,4145,163,17,28,845,9,38,29,2,1,119,183,37,2,2,3,363.45
22366,1041,88,25,367,109,8,75,46,2,1,145,6,222,2,2,3,363.6
22371,225,1,1,260,31,2,169,17,2,1,127,188,45,2,2,3,363.583333333333
22375,225,1,47,260,469,2,169,17,2,1,127,188,45,2,2,3,363.583333333333
22381,225,1,47,260,728,2,169,17,2,1,127,188,45,2,2,3,363.583333333333
22391,3584,40,16,1,30,8,64,59,2,1,126,190,219,2,2,3,363.533333333333
22397,3584,40,16,1,763,7,64,59,1,1,126,190,219,1,2,3,363.533333333333
22398,1021,40,16,1,25,8,75,26,2,1,123,186,181,2,2,3,363.35
22408,1589,1,65,367,31,2,169,17,2,1,127,188,172,2,2,3,402.616666666667
22412,1589,75,1,367,763,7,169,17,1,1,127,188,172,1,2,3,402.616666666667
22417,4147,1,1,1,469,5,75,46,2,1,1,188,106,2,2,3,427.616666666667
22420,4147,30,1,1,347,5,75,46,2,1,1,188,106,2,2,3,427.616666666667
22430,589,163,17,272,30,8,196,46,2,1,126,190,61,2,2,3,363.25
22435,4370,98,65,1,31,2,209,32,2,1,127,188,106,2,2,3,426.5
22441,4370,75,1,1,469,9,75,46,2,2,127,188,106,2,2,3,426.5
22447,916,101,68,1,763,7,64,54,1,1,1,188,9,1,2,3,402.466666666667
22448,3060,98,65,1,763,2,209,32,2,1,1,188,184,2,2,3,431.45
22450,3060,1,1,29,105,2,171,13,2,1,1,188,184,2,2,3,431.45
22456,3060,1,1,29,469,5,171,13,2,1,1,188,184,2,2,3,431.45
22462,4905,107,2,1,635,5,49,38,2,1,68,131,9,2,2,3,787.416666666667
22465,2905,98,65,1,31,2,209,32,2,1,127,188,61,2,2,3,363.283333333333
22466,2905,1,1,1,28,2,209,32,2,1,127,188,61,2,2,3,363.283333333333
22473,2905,163,17,1,845,5,75,26,2,1,127,188,61,2,2,3,363.283333333333
22481,2925,75,1,1,469,8,169,17,2,1,123,186,13,2,2,3,363.233333333333
22483,2925,75,65,1,226,8,169,17,2,1,123,186,13,2,2,3,363.233333333333
22489,2615,107,2,1,635,5,49,38,2,1,68,131,181,2,2,3,793.333333333333
22497,1934,103,68,1,763,7,169,17,1,2,1,186,106,1,2,3,601.316666666667
22501,815,75,1,1,469,5,223,44,2,1,126,190,37,2,2,3,363.283333333333
22509,1815,186,48,367,169,2,122,34,2,1,24,87,181,2,2,3,684.266666666667
22516,1815,186,1,367,469,2,122,34,2,1,24,87,181,2,2,3,684.266666666667
22517,1815,186,1,367,71,2,122,34,2,1,24,87,181,2,2,3,684.266666666667
22521,1723,235,33,367,232,2,75,24,2,1,17,68,219,2,2,3,363.083333333333
22530,4941,145,21,204,469,8,237,46,2,1,180,1,45,2,2,3,363.216666666667
22535,3368,1,1,1,31,2,75,46,2,1,1,188,61,2,2,3,426.166666666667
22537,3368,1,1,1,105,2,75,46,2,1,1,188,61,2,2,3,426.166666666667
22548,4082,29,13,1,108,8,75,59,2,1,126,190,106,2,2,3,624.15
22554,4082,29,18,1,763,7,75,59,1,2,126,190,106,1,2,3,624.15
22555,2307,1,65,1,763,8,122,38,2,1,1,117,61,2,2,3,362.85
22561,2282,1,1,1,105,2,114,32,2,1,127,188,106,2,2,3,620.1
22567,3354,1,65,1,315,9,75,34,2,1,1,186,219,2,2,3,362.733333333333
22575,2631,1,1,274,315,9,6,11,2,1,127,188,106,2,2,3,362.883333333333
22576,2631,1,1,274,763,7,6,11,1,1,127,188,106,1,2,3,362.883333333333
22577,1815,89,36,411,446,8,122,34,2,1,24,87,181,2,2,3,363
22586,2317,75,1,1,763,7,169,17,1,1,123,186,13,1,2,3,362.85
22588,2699,1,1,367,31,2,76,17,2,1,127,188,222,2,2,3,362.833333333333
22589,2699,1,1,367,105,2,76,17,2,1,127,188,222,2,2,3,362.833333333333
22593,2699,1,1,367,315,9,76,17,2,1,127,188,222,2,2,3,362.833333333333
22601,2564,211,41,28,763,7,38,29,1,2,127,188,45,1,2,3,455.95
22606,5240,139,70,367,729,9,59,54,2,2,1,87,106,2,2,3,668.9
22609,5175,1,65,1,31,8,209,32,2,1,1,188,13,2,2,3,362.9
22618,2262,1,65,1,585,8,122,34,2,1,55,117,219,2,2,3,362.75
22622,604,169,65,367,31,9,75,46,2,1,1,188,9,2,2,3,362.583333333333
22626,2589,75,18,418,30,8,169,17,2,1,180,1,106,2,2,3,362.716666666667
22628,2589,75,68,418,191,8,169,17,2,1,180,1,106,2,2,3,362.716666666667
22630,2589,1,47,418,13,2,169,17,2,1,180,1,106,2,2,3,362.716666666667
22632,2589,1,65,418,728,2,169,17,2,1,180,1,106,2,2,3,362.716666666667
22649,4153,135,18,1,30,8,196,46,2,1,126,190,106,2,2,3,572.8
22655,4153,135,18,1,721,9,196,46,2,2,126,190,106,2,2,3,572.8
22663,2628,29,18,29,345,2,171,13,2,1,127,188,106,2,2,3,623.75
22665,2628,29,18,29,763,7,171,13,1,2,127,188,106,1,2,3,623.75
22686,3084,1,65,367,763,8,75,24,2,1,1,1,106,2,2,3,362.35
22689,4905,98,65,1,31,2,209,32,2,1,127,188,9,2,2,3,362.35
22697,2885,1,1,370,105,2,75,46,2,1,127,188,106,2,2,3,362.416666666667
22700,2885,1,47,370,469,2,75,46,2,1,127,188,106,2,2,3,362.416666666667
22708,2885,1,60,370,347,2,75,46,2,1,127,188,106,2,2,3,362.416666666667
22713,2885,30,1,367,763,7,75,46,1,1,127,188,106,1,2,3,362.416666666667
22720,3417,4,50,138,763,7,142,38,1,1,127,188,219,1,1,2,362.25
22724,665,1,33,1,763,7,75,38,1,1,123,186,61,1,2,3,362.233333333333
22729,3165,54,1,367,469,2,75,24,2,1,24,87,219,2,2,3,425.333333333333
22731,3165,54,1,367,156,5,75,24,2,1,24,87,219,2,2,3,425.333333333333
22738,5024,148,25,367,795,2,246,38,2,1,108,172,106,2,2,3,362.033333333333
22743,5235,1,48,1,714,9,183,34,2,1,35,2,181,2,2,3,362.15
22747,889,195,65,1,763,7,209,32,1,1,1,188,77,1,2,3,361.916666666667
22750,2663,1,20,367,80,2,75,57,2,1,127,188,9,2,2,3,362.05
22755,3421,1,65,367,763,9,75,24,2,1,1,1,9,2,2,3,361.883333333333
22762,4685,1,1,367,30,5,75,46,2,1,1,6,171,2,2,3,477.166666666667
22764,4685,1,1,367,451,5,75,46,2,1,1,6,171,2,2,3,477.166666666667
22770,4685,171,1,367,446,5,75,46,2,1,1,6,171,2,2,3,477.166666666667
22774,4685,54,65,367,763,7,75,46,1,2,1,6,171,1,2,3,477.166666666667
22776,4030,40,16,1,388,9,76,17,2,1,123,186,106,2,2,3,362.116666666667
22782,5172,98,65,1,31,2,209,32,2,1,127,188,45,2,2,3,362.033333333333
22787,5172,171,1,1,31,5,209,32,2,1,127,188,45,2,2,3,362.033333333333
22793,890,1,1,370,31,2,209,32,2,1,127,188,106,2,2,3,361.716666666667
22797,1035,4,50,160,251,2,147,38,2,1,178,42,98,2,2,3,478.933333333333
22802,1035,4,50,160,251,2,147,38,2,1,178,42,98,2,2,3,478.933333333333
22809,2521,15,20,450,307,2,64,17,2,1,123,186,9,2,2,3,361.8
22815,1648,1,1,1,105,2,75,46,2,1,127,188,45,2,2,3,495.933333333333
22820,1648,1,1,1,325,5,75,46,2,1,127,188,45,2,2,3,495.933333333333
22821,1648,1,1,1,446,5,75,46,2,1,127,188,45,2,2,3,495.933333333333
22830,1648,54,1,1,415,5,75,46,2,2,127,188,45,2,2,3,495.933333333333
22832,1648,54,1,1,325,5,75,46,2,2,127,188,45,2,2,3,495.933333333333
22833,1648,54,1,1,469,5,75,46,2,2,127,188,45,2,2,3,495.933333333333
22843,1488,1,67,261,332,2,38,29,2,1,1,57,61,2,2,3,640.933333333333
22848,1920,107,2,1,635,2,49,38,2,1,68,131,79,2,2,3,834.916666666667
22859,1096,110,60,1,659,9,120,38,2,1,1,188,9,2,2,3,361.866666666667
22861,540,98,65,1,31,2,209,32,2,1,127,188,219,2,2,3,361.7
22863,540,1,15,1,557,2,151,38,2,1,127,188,219,2,2,3,361.7
22875,2464,75,13,370,28,2,235,14,2,1,123,186,106,2,2,2,455.816666666667
22876,2464,75,13,370,349,2,235,14,2,1,123,186,106,2,2,2,455.816666666667
22879,2464,75,65,370,325,5,235,14,2,1,123,186,106,2,2,2,455.816666666667
22901,4780,231,65,367,560,8,122,38,2,1,145,6,106,2,2,3,399.5
22908,4780,231,1,367,469,5,122,34,2,1,145,6,106,2,2,3,399.5
22930,3468,34,1,367,763,7,75,38,1,1,126,190,186,1,2,3,399.366666666667
22933,4761,75,1,1,469,2,75,46,2,1,123,186,106,2,2,3,361.15
22938,2402,56,13,370,108,8,64,17,2,1,126,190,106,2,2,3,435.266666666667
22939,2402,56,18,370,226,8,64,17,2,1,126,190,106,2,2,3,435.266666666667
22941,2402,56,16,367,325,2,64,17,2,1,126,190,106,2,2,3,435.266666666667
22955,5240,135,18,367,721,2,75,59,2,1,127,188,106,2,2,3,361.083333333333
22963,4340,34,1,1,315,8,75,44,2,1,126,190,97,2,2,3,427.133333333333
22964,4340,34,1,1,315,5,75,44,2,1,126,190,97,2,2,3,427.133333333333
22972,2847,123,16,347,258,8,37,26,2,1,145,6,219,2,2,3,759.966666666667
22973,2847,123,79,347,388,8,37,26,2,1,145,6,219,2,2,3,759.966666666667
22974,2847,123,16,347,258,8,37,26,2,1,145,6,219,2,2,3,759.966666666667
22986,1678,34,65,367,560,8,122,34,2,1,8,61,219,2,2,3,426.9
22987,1678,34,22,367,451,8,122,34,2,1,8,61,219,2,2,3,426.9
22998,3544,1,33,367,763,7,248,24,1,1,180,1,185,1,2,3,360.733333333333
23002,3608,235,33,367,763,7,183,34,1,1,70,140,95,1,2,3,360.716666666667
23003,3802,39,48,1,716,2,122,38,2,1,93,150,45,2,2,3,360.7
23011,2540,64,27,413,484,9,165,50,2,1,36,98,135,2,2,3,22.5833333333333
23017,466,170,7,1,763,7,131,38,1,2,125,189,79,1,2,1,591.683333333333
23018,2917,18,1,1,25,2,76,17,2,1,123,186,9,2,2,3,360.466666666667
23024,4258,107,2,1,635,9,49,38,2,1,68,131,106,2,2,3,360.566666666667
23027,1624,75,1,515,469,8,38,29,2,1,124,187,219,2,2,3,454.183333333333
23029,1624,75,1,515,325,5,38,29,2,1,124,187,219,2,2,3,454.183333333333
23034,539,1,60,1,763,8,75,19,2,1,1,186,79,2,2,3,360.016666666667
23037,1614,1,1,367,13,8,122,38,2,1,121,158,61,2,2,3,359.683333333333
23044,5156,123,1,367,28,8,75,50,2,1,124,187,219,2,2,3,359.766666666667
23052,2788,1,1,367,347,9,68,46,2,1,8,61,106,2,2,3,359.533333333333
23058,5002,1,48,367,315,2,122,38,2,1,26,88,219,2,2,3,359.616666666667
23061,5002,1,33,367,169,2,122,38,2,1,26,88,219,2,2,3,359.616666666667
23066,1755,107,2,1,763,7,49,38,1,2,68,131,106,1,1,3,835.716666666667
23077,2605,1,1,1,565,7,1,28,1,1,50,100,1,2,2,3,43.7333333333333
23080,3472,1,71,518,812,5,191,14,2,1,1,187,219,2,2,3,359.216666666667
23083,2605,1,1,1,565,8,1,1,2,1,50,100,1,2,2,3,359.2
23089,2832,1,33,367,13,8,122,38,2,1,121,158,61,2,2,3,358.9
23095,4719,1,1,367,315,8,75,24,2,1,124,187,198,2,2,3,358.716666666667
23099,1573,149,17,269,28,2,64,59,2,1,124,187,61,2,2,3,355.1
23105,5140,199,1,367,348,2,122,34,2,1,153,202,28,2,2,3,354.733333333333
23114,725,93,1,367,198,7,76,17,1,1,26,88,61,1,2,3,404.983333333333
23116,5115,1,18,367,105,8,75,46,2,1,1,202,106,2,2,3,587.366666666667
23118,5115,1,1,367,31,2,75,46,2,1,1,202,106,2,2,3,587.366666666667
23130,1842,199,65,413,105,9,71,50,2,1,1,202,61,2,2,3,352.683333333333
23134,4423,122,48,1,714,8,183,34,2,1,153,202,61,2,2,3,352.233333333333
23138,126,1,65,367,664,9,76,17,2,1,1,141,45,2,2,3,350.3
23148,1387,1,65,367,763,7,75,46,1,1,1,141,61,1,2,3,347.95
23149,2275,215,21,367,105,8,75,11,2,1,153,202,45,2,2,3,347.1
23152,2275,215,21,367,105,8,75,11,2,1,153,202,45,2,2,2,347.1
23160,891,203,11,191,121,8,239,46,2,1,3,33,79,2,2,3,346.6
23165,1083,75,47,367,728,8,169,17,2,1,3,33,107,2,2,3,346.383333333333
23171,1083,75,1,367,469,9,169,17,2,1,3,33,107,2,2,3,346.383333333333
23175,1014,1,65,413,105,9,122,34,2,1,1,202,198,2,2,3,346.083333333333
23188,1400,1,65,515,325,2,38,29,2,1,1,62,45,2,2,3,346.183333333333
23192,1400,1,41,515,156,2,38,29,2,1,1,62,45,2,2,3,346.183333333333
23202,4756,1,1,1,28,2,209,32,2,1,127,188,222,2,2,3,345.95
23206,5028,1,1,1,28,2,209,32,2,1,127,188,219,2,2,3,345.8
23210,3133,89,65,413,325,2,122,34,2,1,156,16,45,2,2,4,345.9
23211,3133,89,1,413,451,2,122,34,2,1,156,16,45,2,2,4,345.9
23217,1201,75,65,1,325,8,75,14,2,1,3,33,219,2,2,3,345.733333333333
23226,1193,163,17,450,845,5,64,59,2,1,3,33,217,2,2,3,345.683333333333
23228,1193,163,17,450,845,9,64,59,2,1,3,33,217,2,2,3,345.683333333333
23233,3133,1,33,411,585,2,122,34,2,1,156,16,45,2,2,3,345.616666666667
23241,3061,34,1,1,325,9,209,32,2,2,127,188,71,2,2,3,437.733333333333
23242,3061,34,1,1,763,7,209,32,1,2,127,188,71,1,2,3,437.733333333333
23251,1577,158,17,20,827,2,38,29,2,1,3,33,61,2,2,3,345.566666666667
23255,1577,158,17,20,827,9,38,29,2,1,3,33,61,2,2,3,345.566666666667
23258,3225,1,60,306,714,8,183,34,2,1,1,202,106,2,2,3,345.7
23262,5170,98,65,1,31,2,209,32,2,1,127,188,61,2,2,3,345.55
23269,4780,1,1,195,28,2,209,32,2,1,127,188,106,2,2,3,345.5
23271,4780,1,1,7,31,2,248,24,2,1,127,188,106,2,2,3,345.5
23277,379,1,1,191,315,9,114,32,2,1,3,33,106,2,2,2,345.483333333333
23282,2993,123,16,353,686,9,191,14,2,1,153,202,219,2,2,3,345.45
23286,3141,1,2,1,560,8,209,32,2,1,1,188,106,2,2,3,345.6
23288,3141,110,60,1,763,7,209,32,1,1,1,188,106,1,2,3,345.6
23295,2421,81,53,111,763,7,159,38,1,1,127,188,181,1,2,3,345.433333333333
23298,1589,31,65,367,728,8,75,9,2,1,156,16,172,2,2,3,345.316666666667
23301,1589,31,65,367,325,2,75,9,2,1,156,16,172,2,2,3,345.316666666667
23325,2942,1,1,1,770,9,122,38,2,1,103,167,106,2,2,3,345.283333333333
23332,1365,75,1,274,763,7,67,50,1,1,3,33,61,1,2,3,345.25
23334,1247,1,65,367,105,9,75,19,2,1,1,202,97,2,2,3,345.216666666667
23336,3093,145,13,1,31,8,209,32,2,1,127,188,45,2,2,3,345.2
23347,2973,1,65,413,156,9,122,34,2,1,1,16,61,2,2,4,345.183333333333
23353,3655,75,1,367,469,9,75,14,2,1,127,188,176,2,2,3,345.1
23358,2194,196,18,367,108,9,169,17,2,1,3,33,106,2,2,3,344.95
23361,5221,34,65,18,325,2,6,11,2,1,153,202,219,2,2,3,385.016666666667
23370,3833,196,18,367,347,2,64,15,2,1,156,16,106,2,2,4,391.95
23375,3833,1,65,367,446,2,64,15,2,1,156,16,106,2,2,4,391.95
23379,3833,1,18,367,469,2,64,15,2,1,156,16,106,2,2,4,391.95
23405,2723,34,65,314,226,8,68,46,2,1,103,167,67,2,2,3,604.933333333333
23416,2723,1,65,337,315,5,235,14,2,1,103,167,67,2,2,3,604.933333333333
23418,2723,1,1,337,446,5,235,14,2,1,103,167,67,2,2,3,604.933333333333
23420,2723,34,1,337,763,7,235,14,1,2,103,167,67,1,2,3,604.933333333333
23421,2591,98,13,1,31,2,209,32,2,1,127,188,219,2,2,3,344.783333333333
23424,4988,1,13,1,763,8,209,32,2,1,1,188,61,2,2,3,344.933333333333
23425,4988,1,13,1,226,8,209,32,2,1,1,188,61,2,2,3,344.933333333333
23450,5241,1,1,1,325,5,209,32,2,1,127,188,219,2,2,3,436.9
23452,5241,75,1,1,763,7,209,32,1,2,127,188,219,1,2,3,436.9
23453,5047,1,65,2,763,8,88,46,2,1,1,202,106,2,2,3,344.9
23460,5024,1,65,18,325,2,76,17,2,1,153,202,106,2,2,3,344.683333333333
23468,551,213,65,296,325,2,47,50,2,1,3,33,29,2,2,3,435.783333333333
23471,551,213,51,367,325,2,47,50,2,1,3,33,29,2,2,3,435.783333333333
23473,551,1,51,2,325,2,47,50,2,1,3,33,29,2,2,3,435.783333333333
23496,5012,1,13,367,606,2,75,11,2,1,127,188,219,2,2,3,344.783333333333
23502,3902,90,47,21,610,8,76,17,2,1,61,125,69,2,2,1,648.733333333333
23508,3902,90,24,21,226,2,76,17,2,1,61,125,69,2,2,1,648.733333333333
23509,3902,90,24,21,579,5,76,17,2,1,61,125,69,2,2,1,648.733333333333
23525,3114,186,65,1,71,2,209,32,2,1,1,188,45,2,2,3,344.7
23526,3114,186,65,1,71,9,209,32,2,1,1,188,45,2,2,3,344.7
23528,1817,98,13,370,31,2,209,32,2,1,127,188,13,2,2,3,344.55
23537,2943,75,1,367,469,9,76,17,2,1,3,33,164,2,2,3,344.533333333333
23544,4297,1,1,367,28,2,76,17,2,1,127,188,176,2,2,3,344.45
23571,3857,1,1,367,469,2,76,17,2,1,1,1,45,2,2,3,413.583333333333
23576,3857,54,65,367,446,9,76,17,2,2,1,1,45,2,2,3,413.583333333333
23580,551,15,20,1,307,2,75,46,2,1,3,33,29,2,2,3,344.416666666667
23587,2714,15,20,1,763,7,209,32,1,1,127,188,9,1,2,3,344.416666666667
23590,440,1,16,1,13,2,75,46,2,1,127,188,222,2,2,3,344.416666666667
23599,5160,208,59,1,763,7,71,50,1,1,1,205,106,1,2,3,344.55
23602,867,4,50,160,521,8,147,38,2,1,3,33,181,2,2,3,461.533333333333
23604,867,128,53,174,805,2,155,38,2,1,3,33,181,2,2,3,461.533333333333
23611,1534,1,68,4,712,2,59,54,2,1,1,188,146,2,2,3,430.516666666667
23614,271,215,63,367,325,8,75,8,2,1,3,33,45,2,2,3,344.35
23620,271,215,47,367,728,2,75,44,2,1,3,33,45,2,2,3,344.35
23623,271,215,21,367,199,2,75,44,2,1,3,33,45,2,2,3,344.35
23630,2265,40,13,450,606,2,76,17,2,1,3,33,219,2,2,3,386.45
23634,2265,40,16,450,763,7,76,17,1,1,3,33,219,1,2,3,386.45
23639,3099,1,59,1,565,2,75,46,2,1,127,188,61,2,2,3,344.466666666667
23642,3099,1,65,1,728,2,75,46,2,1,127,188,61,2,2,3,344.466666666667
23645,3099,75,1,1,763,7,75,46,1,1,127,188,61,1,2,3,344.466666666667
23648,4755,1,22,1,31,2,75,26,2,1,127,188,163,2,2,3,344.433333333333
23650,4755,169,22,1,763,7,75,26,1,1,127,188,163,1,2,3,344.433333333333
23656,2943,103,68,1,763,7,59,54,1,2,1,33,164,1,2,3,582.383333333333
23657,2268,98,13,325,31,2,209,32,2,1,127,188,219,2,2,3,344.183333333333
23664,2421,1,65,1,13,5,75,34,2,1,1,188,181,2,2,3,344.116666666667
23668,2421,210,65,1,156,9,75,34,2,1,1,188,181,2,2,3,344.116666666667
23673,1912,135,18,1,721,2,127,15,2,1,149,10,106,2,2,3,606.216666666667
23678,3777,1,1,1,469,2,76,17,2,1,127,188,106,2,2,3,654.166666666667
23683,3777,45,18,1,399,9,76,17,2,2,127,188,106,2,2,3,654.166666666667
23686,2593,1,65,1,28,2,122,38,2,1,127,188,9,2,2,3,344.033333333333
23693,2524,183,20,15,28,8,106,26,2,1,3,33,9,2,2,3,344.016666666667
23694,2524,183,20,15,80,2,106,26,2,1,3,33,9,2,2,3,344.016666666667
23698,2972,1,65,18,763,8,76,17,2,1,1,33,219,2,2,3,343.983333333333
23701,2972,1,65,18,763,7,76,17,1,1,1,33,219,1,2,3,343.983333333333
23719,3899,183,20,1,80,5,75,59,2,1,127,188,9,2,2,3,343.966666666667
23735,5161,45,18,367,469,2,76,17,2,1,127,188,106,2,2,3,343.833333333333
23736,5161,29,18,367,345,2,76,17,2,1,127,188,106,2,2,3,343.833333333333
23745,4500,158,17,1,827,2,75,46,2,1,103,167,151,2,2,3,343.75
23749,4500,75,1,1,469,9,75,46,2,1,103,167,151,2,2,3,343.75
23752,1005,1,16,367,226,2,75,15,2,1,173,39,219,2,2,3,343.55
23753,1005,207,16,367,135,2,75,15,2,1,173,39,219,2,2,3,343.55
23763,2681,235,33,413,232,9,122,34,2,1,127,188,9,2,2,3,343.533333333333
23766,1634,169,65,367,325,2,169,17,2,1,3,33,170,2,2,3,557.65
23772,1634,169,1,367,446,5,169,17,2,1,3,33,170,2,2,3,557.65
23779,1634,169,1,367,325,5,169,17,2,1,3,33,170,2,2,3,557.65
23785,1634,169,22,367,31,9,169,17,2,2,3,33,170,2,2,3,557.65
23793,2249,75,1,340,325,8,204,54,2,1,3,33,106,2,2,3,343.633333333333
23796,2249,75,1,340,763,7,204,54,1,1,3,33,106,1,2,3,343.633333333333
23812,888,27,67,1,763,7,75,14,1,2,1,188,61,1,2,3,821.5
23813,2681,172,13,96,31,8,191,14,2,1,127,188,9,2,2,3,343.483333333333
23820,2681,172,20,96,32,9,191,14,2,1,127,188,9,2,2,3,343.483333333333
23821,2681,172,20,96,763,7,191,14,1,1,127,188,9,1,2,3,343.483333333333
23849,4667,1,1,396,315,5,28,11,2,1,1,16,106,2,2,3,412.433333333333
23851,4667,1,1,396,325,5,28,11,2,1,1,16,106,2,2,3,412.433333333333
23855,4667,54,65,396,763,7,28,11,1,2,1,16,106,1,2,3,412.433333333333
23859,4623,123,16,1,686,2,75,46,2,1,127,188,219,2,2,3,343.3
23860,4623,123,16,1,686,5,75,46,2,1,127,188,219,2,2,3,343.3
23866,1341,54,65,367,446,9,75,24,2,1,1,87,106,2,2,3,343.283333333333
23872,1497,163,17,501,222,2,103,59,2,1,3,33,61,2,2,3,343.416666666667
23874,1497,163,17,501,845,2,103,59,2,1,3,33,61,2,2,3,343.416666666667
23887,4690,171,1,367,30,2,248,24,2,1,1,33,133,2,2,3,435.333333333333
23895,4690,1,1,367,28,2,248,24,2,1,1,33,133,2,2,3,435.333333333333
23899,4690,1,65,367,585,2,248,24,2,1,1,33,133,2,2,3,435.333333333333
23900,4690,34,65,367,325,9,248,24,2,2,1,33,133,2,2,3,435.333333333333
23904,1421,1,27,1,252,2,122,34,2,1,24,87,45,2,2,3,415.333333333333
23907,1421,6,7,1,252,2,122,34,2,1,24,87,45,2,2,3,415.333333333333
23916,4250,207,1,1,446,5,76,17,2,1,127,188,106,2,2,3,555.316666666667
23917,4250,207,1,1,325,5,76,17,2,1,127,188,106,2,2,3,555.316666666667
23922,4250,207,16,1,589,5,76,17,2,1,127,188,106,2,2,3,555.316666666667
23926,4250,207,16,1,135,2,76,17,2,1,127,188,106,2,2,3,555.316666666667
23933,3143,45,18,367,469,2,64,17,2,1,127,188,106,2,2,3,553.316666666667
23937,3143,45,18,367,105,2,64,17,2,1,127,188,106,2,2,3,553.316666666667
23944,2066,123,16,353,686,8,191,14,2,1,3,33,219,2,2,3,343.15
23946,2066,123,16,353,763,7,191,14,1,1,3,33,219,1,2,3,343.15
23960,3213,64,27,364,763,7,251,38,1,1,127,188,9,1,2,3,343.216666666667
23961,3724,1,65,367,763,8,122,38,2,1,1,202,9,2,2,3,343.016666666667
23972,745,75,47,260,226,2,169,17,2,1,25,62,166,2,2,3,343.15
23983,1282,108,24,1,763,7,76,17,1,2,127,188,181,1,2,3,342.916666666667
23988,3669,169,22,1,31,9,75,14,2,1,103,167,171,2,2,2,343.05
23994,4765,225,17,1,763,7,75,46,1,1,127,188,61,1,2,3,342.9
23995,65,145,21,4,258,8,53,26,2,1,180,1,45,2,2,3,342.866666666667
24007,3669,1,13,367,105,8,63,9,2,1,1,202,171,2,2,2,622.85
24009,3669,1,67,367,105,8,63,9,2,1,1,202,171,2,2,2,622.85
24015,5241,75,1,367,28,8,75,17,2,1,127,188,219,2,2,3,434.816666666667
24020,5241,75,1,367,325,5,75,17,2,1,127,188,219,2,2,3,434.816666666667
24021,5241,75,1,367,325,5,75,17,2,1,127,188,219,2,2,3,434.816666666667
24045,3031,1,65,413,763,7,122,34,1,1,1,188,166,1,2,3,342.616666666667
24050,2675,1,43,1,446,8,226,36,2,1,24,87,181,2,2,3,342.55
24058,2128,88,25,1,763,7,75,46,1,1,3,33,61,1,2,3,342.55
24063,3554,235,33,1,232,9,122,34,2,1,127,188,219,2,2,3,342.5
24065,1477,75,65,367,31,8,248,24,2,1,127,188,119,2,2,3,342.466666666667
